Unnamed: 0,景区名称,地区,景区等级,经度BD,纬度BD,经度BD_wgs84,纬度BD_wgs84
7312,太乙洞,湖北,2A,114.315666,29.7853993,114.3096778,29.78379739
7313,赤壁市江南明清石窗博物馆,湖北,2A,113.9026136,29.72380212,113.8967052,29.722067914999997
7314,北伐汀泗桥战役遗址,湖北,2A,114.175118,29.82353801,114.1690682,29.82190568
7315,罗荣恒烈士纪念馆,湖北,2A,113.5766871,30.95067996,113.57055105,30.949060160000002
7316,随州市西游记公园,湖北,4A,112.8732279,31.62367982,112.86707870000001,31.621946405
7317,随州市炎帝故里风景名胜区,湖北,4A,113.3044116,31.85441188,113.29814769999999,31.85232701
7318,随州市西游记漂流,湖北,4A,113.5301422,32.32506911,113.52395014999999,32.32301298
7319,随州文化公园,湖北,4A,113.410546,31.71883085,113.4042195,31.71659558
7320,随州市大洪山风景名胜区,湖北,4A,112.983116,31.53398291,112.97690779999999,31.532216589999997
7321,中国随州千年银杏谷景区,湖北,4A,113.310815,31.43696591,113.3045601,31.434927350000002
7322,随州大洪山琵琶湖风景区,湖北,3A,112.9473813,31.62792008,112.94128275,31.625945695
7323,广水市黑龙潭景区,湖北,3A,114.0978204,31.79462093,114.09165265,31.792544425000003
7324,随县云峰山万亩茶园风景区,湖北,3A,112.8458298,31.77087341,112.83968494999999,31.76904687
7325,随县抱朴谷养生产业园,湖北,3A,113.4960675,32.27229794,113.48977995,32.270365229999996
7326,随县神农牡丹谷生态旅游风景区,湖北,3A,113.247562,31.97843804,113.24126960000001,31.976564565
7327,高贵三潭风景区,湖北,3A,113.943073,31.86217796,113.93698545000001,31.860458245
7328,随州市曾侯乙墓遗址景区,湖北,2A,113.357009,31.73433692,113.3506261,31.732440205
7329,高贵三潭风景区,湖北,2A,113.943073,31.86217796,113.93698545000001,31.860458245
7330,恩施州神农溪纤夫文化旅游区,湖北,5A,110.3362949,31.04455407,110.3304734,31.042792765
7331,恩施大峡谷景区,湖北,5A,109.173293,30.43177995,109.16763685000001,30.430049359999998
